stage,cohort,scheme,seed,model,n_expected,n_evaluated,n_missing,auroc,balanced_accuracy,coverage
stage1,common_valid,strict,7001,C,285,63,222,0.8880434782608696,0.8472826086956522,partial_not_full_CV
stage1,common_valid,strict,7002,A,285,63,222,0.8826086956521739,0.8565217391304347,partial_not_full_CV
stage1,common_valid,strict,7002,B,285,63,222,0.8967391304347826,0.8690217391304347,partial_not_full_CV
stage1,common_valid,strict,7002,C,285,63,222,0.8923913043478261,0.8907608695652174,partial_not_full_CV
stage1,common_valid,strict,7003,A,285,63,222,0.8826086956521739,0.8565217391304347,partial_not_full_CV
stage1,common_valid,strict,7003,B,285,63,222,0.8967391304347826,0.8690217391304347,partial_not_full_CV
stage1,common_valid,strict,7003,C,285,63,222,0.8989130434782608,0.8690217391304347,partial_not_full_CV
stage1,common_valid,strict,7004,A,285,63,222,0.8826086956521739,0.8565217391304347,partial_not_full_CV
stage1,common_valid,strict,7004,B,285,63,222,0.8967391304347826,0.8690217391304347,partial_not_full_CV
stage1,common_valid,strict,7004,C,285,63,222,0.8913043478260869,0.8690217391304347,partial_not_full_CV
stage1,common_valid,strict,7005,A,285,63,222,0.8826086956521739,0.8565217391304347,partial_not_full_CV
stage1,common_valid,strict,7005,B,285,63,222,0.8967391304347826,0.8690217391304347,partial_not_full_CV
stage1,common_valid,strict,7005,C,285,63,222,0.8967391304347826,0.8690217391304347,partial_not_full_CV
stage2,all300,exploratory,0,A,300,300,0,0.8592444444444445,0.8166666666666667,complete
stage2,all300,exploratory,0,B,300,300,0,0.8687555555555555,0.8200000000000001,complete
stage2,all300,exploratory,0,C,300,300,0,0.8695111111111111,0.8166666666666667,complete
stage2,all300,exploratory,7001,A,300,300,0,0.8592444444444445,0.8166666666666667,complete
stage2,all300,exploratory,7001,B,300,300,0,0.8687555555555555,0.8200000000000001,complete
stage2,all300,exploratory,7001,C,300,300,0,0.8650222222222222,0.8033333333333333,complete
stage2,all300,exploratory,7002,A,300,300,0,0.8592444444444445,0.8166666666666667,complete
stage2,all300,exploratory,7002,B,300,300,0,0.8687555555555555,0.8200000000000001,complete
stage2,all300,exploratory,7002,C,300,300,0,0.8688888888888889,0.8133333333333332,complete
stage2,all300,exploratory,7003,A,300,300,0,0.8592444444444445,0.8166666666666667,complete
stage2,all300,exploratory,7003,B,300,300,0,0.8687555555555555,0.8200000000000001,complete
stage2,all300,exploratory,7003,C,300,300,0,0.8680888888888889,0.8066666666666666,complete
stage2,all300,exploratory,7004,A,300,300,0,0.8592444444444445,0.8166666666666667,complete
stage2,all300,exploratory,7004,B,300,300,0,0.8687555555555555,0.8200000000000001,complete
stage2,all300,exploratory,7004,C,300,300,0,0.8641777777777778,0.8133333333333334,complete
stage2,all300,exploratory,7005,A,300,300,0,0.8592444444444445,0.8166666666666667,complete
stage2,all300,exploratory,7005,B,300,300,0,0.8687555555555555,0.8200000000000001,complete
stage2,all300,exploratory,7005,C,300,300,0,0.8652,0.8200000000000001,complete
stage2,all300,strict,0,A,300,226,74,0.8870841180163214,0.8481638418079096,partial_not_full_CV
stage2,all300,strict,0,B,300,226,74,0.8935969868173258,0.8524011299435028,partial_not_full_CV
stage2,all300,strict,0,C,300,226,74,0.8945386064030132,0.8570307595731325,partial_not_full_CV
stage2,all300,strict,7001,A,300,226,74,0.8870841180163214,0.8481638418079096,partial_not_full_CV
stage2,all300,strict,7001,B,300,226,74,0.8935969868173258,0.8524011299435028,partial_not_full_CV
stage2,all300,strict,7001,C,300,226,74,0.8909290646578782,0.8389045825486503,partial_not_full_CV
stage2,all300,strict,7002,A,300,226,74,0.8870841180163214,0.8481638418079096,partial_not_full_CV
stage2,all300,strict,7002,B,300,226,74,0.8935969868173258,0.8524011299435028,partial_not_full_CV
stage2,all300,strict,7002,C,300,226,74,0.8952448210922788,0.8524011299435028,partial_not_full_CV
stage2,all300,strict,7003,A,300,226,74,0.8870841180163214,0.8481638418079096,partial_not_full_CV
stage2,all300,strict,7003,B,300,226,74,0.8935969868173258,0.8524011299435028,partial_not_full_CV
stage2,all300,strict,7003,C,300,226,74,0.8938323917137476,0.8477715003138733,partial_not_full_CV
stage2,all300,strict,7004,A,300,226,74,0.8870841180163214,0.8481638418079096,partial_not_full_CV
stage2,all300,strict,7004,B,300,226,74,0.8935969868173258,0.8524011299435028,partial_not_full_CV
stage2,all300,strict,7004,C,300,226,74,0.8906151914626491,0.8477715003138733,partial_not_full_CV
stage2,all300,strict,7005,A,300,226,74,0.8870841180163214,0.8481638418079096,partial_not_full_CV
stage2,all300,strict,7005,B,300,226,74,0.8935969868173258,0.8524011299435028,partial_not_full_CV
stage2,all300,strict,7005,C,300,226,74,0.8910075329566854,0.8524011299435028,partial_not_full_CV
