stage,cohort,scheme,repetitions,auroc_mean,auroc_sd_over_5_repetitions,auroc_min,auroc_max,ba_mean,ba_sd_over_5_repetitions,n_evaluated
stage1,all300,exploratory,5,0.8481733333333332,0.0027946333048616233,0.845,0.8514888888888889,0.7986666666666666,0.006055300708194978,300
stage1,all300,strict,5,0.8767619047619049,0.00449741674404482,0.8695238095238095,0.8809523809523809,0.8584761904761905,0.01664079624817401,67
stage1,common_valid,exploratory,5,0.8564304720607077,0.0028866446765932296,0.8527150882034099,0.8592687493840544,0.7979846259978318,0.006406203793420077,285
stage1,common_valid,strict,5,0.8934782608695653,0.004347826086956517,0.8880434782608696,0.8989130434782608,0.8690217391304348,0.01537188654753363,63
stage2,all300,exploratory,5,0.8662755555555556,0.002076416666480905,0.8641777777777778,0.8688888888888889,0.8113333333333334,0.0064978628965392925,300
stage2,all300,strict,5,0.8923258003766478,0.002085987890100239,0.8906151914626491,0.8952448210922788,0.8478499686126805,0.005510407999883626,226
stage2,common_valid,exploratory,5,0.8618113728195527,0.0020378325356479716,0.8593673006800039,0.8648368976052035,0.7965112841233862,0.005806048418257464,285
stage2,common_valid,strict,5,0.8711001642036125,0.0035669431849307577,0.8661740558292282,0.874384236453202,0.8266009852216749,0.01805446534297985,100
