stage,cohort,scheme,seed,model,fold,n,auroc,balanced_accuracy
stage1,all300,exploratory,7003,B,5,38,0.9872159090909091,0.875
stage1,all300,exploratory,7003,B,6,39,0.9333333333333333,0.9375
stage1,all300,exploratory,7003,B,7,39,0.7473684210526316,0.6657894736842105
stage1,all300,exploratory,7003,B,8,43,0.782608695652174,0.7510869565217391
stage1,all300,exploratory,7003,C,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,7003,C,2,41,0.8816425120772947,0.8514492753623188
stage1,all300,exploratory,7003,C,3,37,0.935672514619883,0.8640350877192983
stage1,all300,exploratory,7003,C,4,35,0.7727272727272727,0.6555944055944056
stage1,all300,exploratory,7003,C,5,38,0.9900568181818182,0.875
stage1,all300,exploratory,7003,C,6,39,0.9333333333333333,0.9041666666666667
stage1,all300,exploratory,7003,C,7,39,0.7447368421052631,0.6657894736842105
stage1,all300,exploratory,7003,C,8,43,0.7869565217391304,0.7260869565217392
stage1,all300,exploratory,7004,A,1,28,0.7833333333333333,0.7555555555555555
stage1,all300,exploratory,7004,A,2,41,0.8719806763285024,0.8731884057971014
stage1,all300,exploratory,7004,A,3,37,0.9152046783625731,0.8654970760233918
stage1,all300,exploratory,7004,A,4,35,0.7762237762237763,0.6486013986013985
stage1,all300,exploratory,7004,A,5,38,0.9588068181818182,0.84375
stage1,all300,exploratory,7004,A,6,39,0.9472222222222222,0.9375
stage1,all300,exploratory,7004,A,7,39,0.7894736842105263,0.6657894736842105
stage1,all300,exploratory,7004,A,8,43,0.7543478260869565,0.7043478260869566
stage1,all300,exploratory,7004,B,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,7004,B,2,41,0.8792270531400966,0.8731884057971014
stage1,all300,exploratory,7004,B,3,37,0.9269005847953217,0.8640350877192983
stage1,all300,exploratory,7004,B,4,35,0.7622377622377622,0.6783216783216783
stage1,all300,exploratory,7004,B,5,38,0.9872159090909091,0.875
stage1,all300,exploratory,7004,B,6,39,0.9333333333333333,0.9375
stage1,all300,exploratory,7004,B,7,39,0.7473684210526316,0.6657894736842105
stage1,all300,exploratory,7004,B,8,43,0.782608695652174,0.7510869565217391
stage1,all300,exploratory,7004,C,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,7004,C,2,41,0.8792270531400966,0.8514492753623188
stage1,all300,exploratory,7004,C,3,37,0.9298245614035088,0.8640350877192983
stage1,all300,exploratory,7004,C,4,35,0.7552447552447552,0.6328671328671329
stage1,all300,exploratory,7004,C,5,38,0.9872159090909091,0.875
stage1,all300,exploratory,7004,C,6,39,0.9277777777777778,0.9041666666666667
stage1,all300,exploratory,7004,C,7,39,0.7368421052631579,0.6657894736842105
stage1,all300,exploratory,7004,C,8,43,0.7891304347826087,0.7728260869565218
stage1,all300,exploratory,7005,A,1,28,0.7833333333333333,0.7555555555555555
stage1,all300,exploratory,7005,A,2,41,0.8719806763285024,0.8731884057971014
stage1,all300,exploratory,7005,A,3,37,0.9152046783625731,0.8654970760233918
stage1,all300,exploratory,7005,A,4,35,0.7762237762237763,0.6486013986013985
stage1,all300,exploratory,7005,A,5,38,0.9588068181818182,0.84375
stage1,all300,exploratory,7005,A,6,39,0.9472222222222222,0.9375
stage1,all300,exploratory,7005,A,7,39,0.7894736842105263,0.6657894736842105
stage1,all300,exploratory,7005,A,8,43,0.7543478260869565,0.7043478260869566
stage1,all300,exploratory,7005,B,1,28,0.8222222222222222,0.7833333333333333
stage1,all300,exploratory,7005,B,2,41,0.8792270531400966,0.8731884057971014
stage1,all300,exploratory,7005,B,3,37,0.9269005847953217,0.8640350877192983
stage1,all300,exploratory,7005,B,4,35,0.7622377622377622,0.6783216783216783
stage1,all300,exploratory,7005,B,5,38,0.9872159090909091,0.875
stage1,all300,exploratory,7005,B,6,39,0.9333333333333333,0.9375
stage1,all300,exploratory,7005,B,7,39,0.7473684210526316,0.6657894736842105
stage1,all300,exploratory,7005,B,8,43,0.782608695652174,0.7510869565217391
stage1,all300,exploratory,7005,C,1,28,0.8277777777777777,0.7833333333333333
stage1,all300,exploratory,7005,C,2,41,0.8792270531400966,0.8514492753623188
stage1,all300,exploratory,7005,C,3,37,0.9298245614035088,0.8640350877192983
stage1,all300,exploratory,7005,C,4,35,0.7657342657342657,0.6783216783216783
stage1,all300,exploratory,7005,C,5,38,0.984375,0.875
stage1,all300,exploratory,7005,C,6,39,0.9388888888888889,0.9041666666666667
stage1,all300,exploratory,7005,C,7,39,0.7473684210526316,0.6657894736842105
stage1,all300,exploratory,7005,C,8,43,0.782608695652174,0.7728260869565218
stage1,all300,strict,0,A,1,28,0.7722222222222223,0.7555555555555555
stage1,all300,strict,0,A,2,0,,
stage1,all300,strict,0,A,3,0,,
stage1,all300,strict,0,A,4,0,,
stage1,all300,strict,0,A,5,0,,
stage1,all300,strict,0,A,6,39,0.9444444444444444,0.9375
stage1,all300,strict,0,A,7,0,,
stage1,all300,strict,0,A,8,0,,
stage1,all300,strict,0,B,1,28,0.8277777777777777,0.7833333333333333
stage1,all300,strict,0,B,2,0,,
stage1,all300,strict,0,B,3,0,,
