stage,cohort,scheme,seed,model,fold,n,auroc,balanced_accuracy
stage1,common_valid,exploratory,7005,A,3,37,0.9152046783625731,0.8377192982456141
stage1,common_valid,exploratory,7005,A,4,32,0.7833333333333333,0.6583333333333333
stage1,common_valid,exploratory,7005,A,5,36,0.9650793650793651,0.9333333333333333
stage1,common_valid,exploratory,7005,A,6,39,0.9472222222222222,0.9041666666666667
stage1,common_valid,exploratory,7005,A,7,38,0.7977839335180056,0.6578947368421053
stage1,common_valid,exploratory,7005,A,8,42,0.7574370709382151,0.7162471395881007
stage1,common_valid,exploratory,7005,B,1,24,0.828125,0.8125
stage1,common_valid,exploratory,7005,B,2,37,0.8888888888888888,0.8640350877192983
stage1,common_valid,exploratory,7005,B,3,37,0.9239766081871345,0.8640350877192983
stage1,common_valid,exploratory,7005,B,4,32,0.7708333333333334,0.6416666666666666
stage1,common_valid,exploratory,7005,B,5,36,0.9936507936507937,0.9
stage1,common_valid,exploratory,7005,B,6,39,0.9361111111111111,0.8708333333333333
stage1,common_valid,exploratory,7005,B,7,38,0.7590027700831025,0.6578947368421053
stage1,common_valid,exploratory,7005,B,8,42,0.7894736842105263,0.7688787185354691
stage1,common_valid,exploratory,7005,C,1,24,0.8359375,0.8125
stage1,common_valid,exploratory,7005,C,2,37,0.8888888888888888,0.8377192982456141
stage1,common_valid,exploratory,7005,C,3,37,0.9269005847953217,0.8640350877192983
stage1,common_valid,exploratory,7005,C,4,32,0.775,0.6666666666666667
stage1,common_valid,exploratory,7005,C,5,36,0.9809523809523809,0.9
stage1,common_valid,exploratory,7005,C,6,39,0.9416666666666667,0.9041666666666667
stage1,common_valid,exploratory,7005,C,7,38,0.7534626038781164,0.6578947368421053
stage1,common_valid,exploratory,7005,C,8,42,0.7803203661327232,0.7688787185354691
stage1,common_valid,strict,0,A,1,24,0.7890625,0.78125
stage1,common_valid,strict,0,A,2,0,,
stage1,common_valid,strict,0,A,3,0,,
stage1,common_valid,strict,0,A,4,0,,
stage1,common_valid,strict,0,A,5,0,,
stage1,common_valid,strict,0,A,6,39,0.9444444444444444,0.9041666666666667
stage1,common_valid,strict,0,A,7,0,,
stage1,common_valid,strict,0,A,8,0,,
stage1,common_valid,strict,0,B,1,24,0.828125,0.8125
stage1,common_valid,strict,0,B,2,0,,
stage1,common_valid,strict,0,B,3,0,,
stage1,common_valid,strict,0,B,4,0,,
stage1,common_valid,strict,0,B,5,0,,
stage1,common_valid,strict,0,B,6,39,0.9388888888888889,0.9041666666666667
stage1,common_valid,strict,0,B,7,0,,
stage1,common_valid,strict,0,B,8,0,,
stage1,common_valid,strict,0,C,1,24,0.8359375,0.8125
stage1,common_valid,strict,0,C,2,0,,
stage1,common_valid,strict,0,C,3,0,,
stage1,common_valid,strict,0,C,4,0,,
stage1,common_valid,strict,0,C,5,0,,
stage1,common_valid,strict,0,C,6,39,0.9305555555555556,0.9375
stage1,common_valid,strict,0,C,7,0,,
stage1,common_valid,strict,0,C,8,0,,
stage1,common_valid,strict,7001,A,1,24,0.7890625,0.78125
stage1,common_valid,strict,7001,A,2,0,,
stage1,common_valid,strict,7001,A,3,0,,
stage1,common_valid,strict,7001,A,4,0,,
stage1,common_valid,strict,7001,A,5,0,,
stage1,common_valid,strict,7001,A,6,39,0.9444444444444444,0.9041666666666667
stage1,common_valid,strict,7001,A,7,0,,
stage1,common_valid,strict,7001,A,8,0,,
stage1,common_valid,strict,7001,B,1,24,0.828125,0.8125
stage1,common_valid,strict,7001,B,2,0,,
stage1,common_valid,strict,7001,B,3,0,,
stage1,common_valid,strict,7001,B,4,0,,
stage1,common_valid,strict,7001,B,5,0,,
stage1,common_valid,strict,7001,B,6,39,0.9388888888888889,0.9041666666666667
stage1,common_valid,strict,7001,B,7,0,,
stage1,common_valid,strict,7001,B,8,0,,
stage1,common_valid,strict,7001,C,1,24,0.8359375,0.8125
stage1,common_valid,strict,7001,C,2,0,,
stage1,common_valid,strict,7001,C,3,0,,
stage1,common_valid,strict,7001,C,4,0,,
stage1,common_valid,strict,7001,C,5,0,,
stage1,common_valid,strict,7001,C,6,39,0.9277777777777778,0.8708333333333333
stage1,common_valid,strict,7001,C,7,0,,
stage1,common_valid,strict,7001,C,8,0,,
stage1,common_valid,strict,7002,A,1,24,0.7890625,0.78125
stage1,common_valid,strict,7002,A,2,0,,
stage1,common_valid,strict,7002,A,3,0,,
stage1,common_valid,strict,7002,A,4,0,,
stage1,common_valid,strict,7002,A,5,0,,
stage1,common_valid,strict,7002,A,6,39,0.9444444444444444,0.9041666666666667
stage1,common_valid,strict,7002,A,7,0,,
stage1,common_valid,strict,7002,A,8,0,,
stage1,common_valid,strict,7002,B,1,24,0.828125,0.8125
stage1,common_valid,strict,7002,B,2,0,,
stage1,common_valid,strict,7002,B,3,0,,
stage1,common_valid,strict,7002,B,4,0,,
stage1,common_valid,strict,7002,B,5,0,,
stage1,common_valid,strict,7002,B,6,39,0.9388888888888889,0.9041666666666667
stage1,common_valid,strict,7002,B,7,0,,
stage1,common_valid,strict,7002,B,8,0,,
stage1,common_valid,strict,7002,C,1,24,0.8359375,0.8125
stage1,common_valid,strict,7002,C,2,0,,
stage1,common_valid,strict,7002,C,3,0,,
stage1,common_valid,strict,7002,C,4,0,,
stage1,common_valid,strict,7002,C,5,0,,
stage1,common_valid,strict,7002,C,6,39,0.9333333333333333,0.9375
stage1,common_valid,strict,7002,C,7,0,,
stage1,common_valid,strict,7002,C,8,0,,
stage1,common_valid,strict,7003,A,1,24,0.7890625,0.78125
stage1,common_valid,strict,7003,A,2,0,,
stage1,common_valid,strict,7003,A,3,0,,
stage1,common_valid,strict,7003,A,4,0,,
stage1,common_valid,strict,7003,A,5,0,,
stage1,common_valid,strict,7003,A,6,39,0.9444444444444444,0.9041666666666667
stage1,common_valid,strict,7003,A,7,0,,
stage1,common_valid,strict,7003,A,8,0,,
stage1,common_valid,strict,7003,B,1,24,0.828125,0.8125
stage1,common_valid,strict,7003,B,2,0,,
stage1,common_valid,strict,7003,B,3,0,,
stage1,common_valid,strict,7003,B,4,0,,
stage1,common_valid,strict,7003,B,5,0,,
stage1,common_valid,strict,7003,B,6,39,0.9388888888888889,0.9041666666666667
stage1,common_valid,strict,7003,B,7,0,,
stage1,common_valid,strict,7003,B,8,0,,
stage1,common_valid,strict,7003,C,1,24,0.8515625,0.8125
stage1,common_valid,strict,7003,C,2,0,,
stage1,common_valid,strict,7003,C,3,0,,
stage1,common_valid,strict,7003,C,4,0,,
stage1,common_valid,strict,7003,C,5,0,,
stage1,common_valid,strict,7003,C,6,39,0.9333333333333333,0.9041666666666667
stage1,common_valid,strict,7003,C,7,0,,
stage1,common_valid,strict,7003,C,8,0,,
stage1,common_valid,strict,7004,A,1,24,0.7890625,0.78125
stage1,common_valid,strict,7004,A,2,0,,
stage1,common_valid,strict,7004,A,3,0,,
stage1,common_valid,strict,7004,A,4,0,,
stage1,common_valid,strict,7004,A,5,0,,
stage1,common_valid,strict,7004,A,6,39,0.9444444444444444,0.9041666666666667
stage1,common_valid,strict,7004,A,7,0,,
stage1,common_valid,strict,7004,A,8,0,,
stage1,common_valid,strict,7004,B,1,24,0.828125,0.8125
stage1,common_valid,strict,7004,B,2,0,,
stage1,common_valid,strict,7004,B,3,0,,
stage1,common_valid,strict,7004,B,4,0,,
stage1,common_valid,strict,7004,B,5,0,,
stage1,common_valid,strict,7004,B,6,39,0.9388888888888889,0.9041666666666667
stage1,common_valid,strict,7004,B,7,0,,
stage1,common_valid,strict,7004,B,8,0,,
stage1,common_valid,strict,7004,C,1,24,0.8359375,0.8125
stage1,common_valid,strict,7004,C,2,0,,
stage1,common_valid,strict,7004,C,3,0,,
stage1,common_valid,strict,7004,C,4,0,,
stage1,common_valid,strict,7004,C,5,0,,
stage1,common_valid,strict,7004,C,6,39,0.9305555555555556,0.9041666666666667
stage1,common_valid,strict,7004,C,7,0,,
stage1,common_valid,strict,7004,C,8,0,,
stage1,common_valid,strict,7005,A,1,24,0.7890625,0.78125
stage1,common_valid,strict,7005,A,2,0,,
stage1,common_valid,strict,7005,A,3,0,,
stage1,common_valid,strict,7005,A,4,0,,
stage1,common_valid,strict,7005,A,5,0,,
stage1,common_valid,strict,7005,A,6,39,0.9444444444444444,0.9041666666666667
stage1,common_valid,strict,7005,A,7,0,,
stage1,common_valid,strict,7005,A,8,0,,
stage1,common_valid,strict,7005,B,1,24,0.828125,0.8125
stage1,common_valid,strict,7005,B,2,0,,
stage1,common_valid,strict,7005,B,3,0,,
stage1,common_valid,strict,7005,B,4,0,,
stage1,common_valid,strict,7005,B,5,0,,
stage1,common_valid,strict,7005,B,6,39,0.9388888888888889,0.9041666666666667
stage1,common_valid,strict,7005,B,7,0,,
stage1,common_valid,strict,7005,B,8,0,,
stage1,common_valid,strict,7005,C,1,24,0.84375,0.8125
stage1,common_valid,strict,7005,C,2,0,,
stage1,common_valid,strict,7005,C,3,0,,
stage1,common_valid,strict,7005,C,4,0,,
stage1,common_valid,strict,7005,C,5,0,,
stage1,common_valid,strict,7005,C,6,39,0.9361111111111111,0.9041666666666667
stage1,common_valid,strict,7005,C,7,0,,
stage1,common_valid,strict,7005,C,8,0,,
stage2,all300,exploratory,0,A,1,28,0.8277777777777777,0.8388888888888889
stage2,all300,exploratory,0,A,2,41,0.8743961352657005,0.8731884057971014
stage2,all300,exploratory,0,A,3,37,0.9181286549707602,0.8918128654970761
stage2,all300,exploratory,0,A,4,35,0.8006993006993007,0.7325174825174825
stage2,all300,exploratory,0,A,5,38,0.9744318181818182,0.90625
stage2,all300,exploratory,0,A,6,39,0.9472222222222222,0.9375
stage2,all300,exploratory,0,A,7,39,0.7842105263157895,0.6907894736842105
stage2,all300,exploratory,0,A,8,43,0.7739130434782608,0.6793478260869565
stage2,all300,exploratory,0,B,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,0,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,exploratory,0,B,3,37,0.935672514619883,0.8918128654970761
stage2,all300,exploratory,0,B,4,35,0.7972027972027972,0.7167832167832169
stage2,all300,exploratory,0,B,5,38,0.9943181818181818,0.90625
stage2,all300,exploratory,0,B,6,39,0.9388888888888889,0.9375
stage2,all300,exploratory,0,B,7,39,0.8026315789473685,0.6907894736842105
stage2,all300,exploratory,0,B,8,43,0.808695652173913,0.7760869565217392
stage2,all300,exploratory,0,C,1,28,0.8388888888888889,0.7833333333333333
stage2,all300,exploratory,0,C,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,exploratory,0,C,3,37,0.9415204678362573,0.8918128654970761
stage2,all300,exploratory,0,C,4,35,0.8321678321678322,0.6940559440559441
stage2,all300,exploratory,0,C,5,38,0.9857954545454546,0.90625
stage2,all300,exploratory,0,C,6,39,0.9333333333333333,0.9375
stage2,all300,exploratory,0,C,7,39,0.7973684210526316,0.6907894736842105
stage2,all300,exploratory,0,C,8,43,0.808695652173913,0.7760869565217392
stage2,all300,exploratory,7001,A,1,28,0.8277777777777777,0.8388888888888889
stage2,all300,exploratory,7001,A,2,41,0.8743961352657005,0.8731884057971014
stage2,all300,exploratory,7001,A,3,37,0.9181286549707602,0.8918128654970761
stage2,all300,exploratory,7001,A,4,35,0.8006993006993007,0.7325174825174825
stage2,all300,exploratory,7001,A,5,38,0.9744318181818182,0.90625
stage2,all300,exploratory,7001,A,6,39,0.9472222222222222,0.9375
stage2,all300,exploratory,7001,A,7,39,0.7842105263157895,0.6907894736842105
stage2,all300,exploratory,7001,A,8,43,0.7739130434782608,0.6793478260869565
stage2,all300,exploratory,7001,B,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,7001,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,exploratory,7001,B,3,37,0.935672514619883,0.8918128654970761
stage2,all300,exploratory,7001,B,4,35,0.7972027972027972,0.7167832167832169
stage2,all300,exploratory,7001,B,5,38,0.9943181818181818,0.90625
stage2,all300,exploratory,7001,B,6,39,0.9388888888888889,0.9375
stage2,all300,exploratory,7001,B,7,39,0.8026315789473685,0.6907894736842105
stage2,all300,exploratory,7001,B,8,43,0.808695652173913,0.7760869565217392
stage2,all300,exploratory,7001,C,1,28,0.8277777777777777,0.7833333333333333
stage2,all300,exploratory,7001,C,2,41,0.8743961352657005,0.8514492753623188
stage2,all300,exploratory,7001,C,3,37,0.9532163742690059,0.8640350877192983
stage2,all300,exploratory,7001,C,4,35,0.8146853146853147,0.6940559440559441
stage2,all300,exploratory,7001,C,5,38,0.9857954545454546,0.90625
stage2,all300,exploratory,7001,C,6,39,0.9305555555555556,0.8708333333333333
stage2,all300,exploratory,7001,C,7,39,0.7973684210526316,0.6657894736842105
stage2,all300,exploratory,7001,C,8,43,0.808695652173913,0.7760869565217392
stage2,all300,exploratory,7002,A,1,28,0.8277777777777777,0.8388888888888889
stage2,all300,exploratory,7002,A,2,41,0.8743961352657005,0.8731884057971014
stage2,all300,exploratory,7002,A,3,37,0.9181286549707602,0.8918128654970761
stage2,all300,exploratory,7002,A,4,35,0.8006993006993007,0.7325174825174825
stage2,all300,exploratory,7002,A,5,38,0.9744318181818182,0.90625
stage2,all300,exploratory,7002,A,6,39,0.9472222222222222,0.9375
stage2,all300,exploratory,7002,A,7,39,0.7842105263157895,0.6907894736842105
stage2,all300,exploratory,7002,A,8,43,0.7739130434782608,0.6793478260869565
stage2,all300,exploratory,7002,B,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,7002,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,exploratory,7002,B,3,37,0.935672514619883,0.8918128654970761
stage2,all300,exploratory,7002,B,4,35,0.7972027972027972,0.7167832167832169
stage2,all300,exploratory,7002,B,5,38,0.9943181818181818,0.90625
stage2,all300,exploratory,7002,B,6,39,0.9388888888888889,0.9375
stage2,all300,exploratory,7002,B,7,39,0.8026315789473685,0.6907894736842105
stage2,all300,exploratory,7002,B,8,43,0.808695652173913,0.7760869565217392
stage2,all300,exploratory,7002,C,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,7002,C,2,41,0.8695652173913043,0.8514492753623188
stage2,all300,exploratory,7002,C,3,37,0.9502923976608187,0.8918128654970761
stage2,all300,exploratory,7002,C,4,35,0.8251748251748252,0.7167832167832169
stage2,all300,exploratory,7002,C,5,38,0.9914772727272727,0.90625
stage2,all300,exploratory,7002,C,6,39,0.9361111111111111,0.9375
stage2,all300,exploratory,7002,C,7,39,0.7921052631578948,0.6657894736842105
stage2,all300,exploratory,7002,C,8,43,0.808695652173913,0.7510869565217391
stage2,all300,exploratory,7003,A,1,28,0.8277777777777777,0.8388888888888889
stage2,all300,exploratory,7003,A,2,41,0.8743961352657005,0.8731884057971014
stage2,all300,exploratory,7003,A,3,37,0.9181286549707602,0.8918128654970761
stage2,all300,exploratory,7003,A,4,35,0.8006993006993007,0.7325174825174825
stage2,all300,exploratory,7003,A,5,38,0.9744318181818182,0.90625
stage2,all300,exploratory,7003,A,6,39,0.9472222222222222,0.9375
stage2,all300,exploratory,7003,A,7,39,0.7842105263157895,0.6907894736842105
stage2,all300,exploratory,7003,A,8,43,0.7739130434782608,0.6793478260869565
stage2,all300,exploratory,7003,B,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,7003,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,exploratory,7003,B,3,37,0.935672514619883,0.8918128654970761
stage2,all300,exploratory,7003,B,4,35,0.7972027972027972,0.7167832167832169
stage2,all300,exploratory,7003,B,5,38,0.9943181818181818,0.90625
stage2,all300,exploratory,7003,B,6,39,0.9388888888888889,0.9375
stage2,all300,exploratory,7003,B,7,39,0.8026315789473685,0.6907894736842105
stage2,all300,exploratory,7003,B,8,43,0.808695652173913,0.7760869565217392
stage2,all300,exploratory,7003,C,1,28,0.85,0.7833333333333333
stage2,all300,exploratory,7003,C,2,41,0.8743961352657005,0.8514492753623188
stage2,all300,exploratory,7003,C,3,37,0.9444444444444444,0.8918128654970761
stage2,all300,exploratory,7003,C,4,35,0.8426573426573427,0.6940559440559441
stage2,all300,exploratory,7003,C,5,38,0.9886363636363636,0.90625
stage2,all300,exploratory,7003,C,6,39,0.925,0.9041666666666667
stage2,all300,exploratory,7003,C,7,39,0.7921052631578948,0.6921052631578948
stage2,all300,exploratory,7003,C,8,43,0.8043478260869565,0.7260869565217392
stage2,all300,exploratory,7004,A,1,28,0.8277777777777777,0.8388888888888889
stage2,all300,exploratory,7004,A,2,41,0.8743961352657005,0.8731884057971014
stage2,all300,exploratory,7004,A,3,37,0.9181286549707602,0.8918128654970761
stage2,all300,exploratory,7004,A,4,35,0.8006993006993007,0.7325174825174825
stage2,all300,exploratory,7004,A,5,38,0.9744318181818182,0.90625
stage2,all300,exploratory,7004,A,6,39,0.9472222222222222,0.9375
stage2,all300,exploratory,7004,A,7,39,0.7842105263157895,0.6907894736842105
stage2,all300,exploratory,7004,A,8,43,0.7739130434782608,0.6793478260869565
stage2,all300,exploratory,7004,B,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,7004,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,exploratory,7004,B,3,37,0.935672514619883,0.8918128654970761
stage2,all300,exploratory,7004,B,4,35,0.7972027972027972,0.7167832167832169
stage2,all300,exploratory,7004,B,5,38,0.9943181818181818,0.90625
stage2,all300,exploratory,7004,B,6,39,0.9388888888888889,0.9375
stage2,all300,exploratory,7004,B,7,39,0.8026315789473685,0.6907894736842105
stage2,all300,exploratory,7004,B,8,43,0.808695652173913,0.7760869565217392
stage2,all300,exploratory,7004,C,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,7004,C,2,41,0.8671497584541062,0.8514492753623188
stage2,all300,exploratory,7004,C,3,37,0.9415204678362573,0.8918128654970761
stage2,all300,exploratory,7004,C,4,35,0.8216783216783217,0.6940559440559441
stage2,all300,exploratory,7004,C,5,38,0.9886363636363636,0.90625
stage2,all300,exploratory,7004,C,6,39,0.9277777777777778,0.9041666666666667
stage2,all300,exploratory,7004,C,7,39,0.7894736842105263,0.6921052631578948
stage2,all300,exploratory,7004,C,8,43,0.8065217391304348,0.7760869565217392
stage2,all300,exploratory,7005,A,1,28,0.8277777777777777,0.8388888888888889
stage2,all300,exploratory,7005,A,2,41,0.8743961352657005,0.8731884057971014
stage2,all300,exploratory,7005,A,3,37,0.9181286549707602,0.8918128654970761
stage2,all300,exploratory,7005,A,4,35,0.8006993006993007,0.7325174825174825
stage2,all300,exploratory,7005,A,5,38,0.9744318181818182,0.90625
stage2,all300,exploratory,7005,A,6,39,0.9472222222222222,0.9375
stage2,all300,exploratory,7005,A,7,39,0.7842105263157895,0.6907894736842105
stage2,all300,exploratory,7005,A,8,43,0.7739130434782608,0.6793478260869565
stage2,all300,exploratory,7005,B,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,7005,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,exploratory,7005,B,3,37,0.935672514619883,0.8918128654970761
stage2,all300,exploratory,7005,B,4,35,0.7972027972027972,0.7167832167832169
stage2,all300,exploratory,7005,B,5,38,0.9943181818181818,0.90625
stage2,all300,exploratory,7005,B,6,39,0.9388888888888889,0.9375
stage2,all300,exploratory,7005,B,7,39,0.8026315789473685,0.6907894736842105
stage2,all300,exploratory,7005,B,8,43,0.808695652173913,0.7760869565217392
stage2,all300,exploratory,7005,C,1,28,0.8444444444444444,0.7833333333333333
stage2,all300,exploratory,7005,C,2,41,0.8671497584541062,0.8514492753623188
stage2,all300,exploratory,7005,C,3,37,0.9385964912280702,0.8918128654970761
stage2,all300,exploratory,7005,C,4,35,0.8146853146853147,0.7167832167832169
stage2,all300,exploratory,7005,C,5,38,0.9857954545454546,0.90625
stage2,all300,exploratory,7005,C,6,39,0.9361111111111111,0.9375
stage2,all300,exploratory,7005,C,7,39,0.7894736842105263,0.6921052631578948
stage2,all300,exploratory,7005,C,8,43,0.808695652173913,0.7760869565217392
stage2,all300,strict,0,A,1,28,0.8166666666666667,0.8111111111111111
stage2,all300,strict,0,A,2,41,0.8768115942028986,0.8454106280193237
stage2,all300,strict,0,A,3,37,0.9210526315789473,0.8918128654970761
stage2,all300,strict,0,A,4,0,,
stage2,all300,strict,0,A,5,38,0.9801136363636364,0.90625
stage2,all300,strict,0,A,6,39,0.9388888888888889,0.9375
stage2,all300,strict,0,A,7,0,,
stage2,all300,strict,0,A,8,43,0.7695652173913043,0.7043478260869566
stage2,all300,strict,0,B,1,28,0.8333333333333334,0.7833333333333333
stage2,all300,strict,0,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,strict,0,B,3,37,0.9327485380116959,0.8918128654970761
stage2,all300,strict,0,B,4,0,,
stage2,all300,strict,0,B,5,38,0.9943181818181818,0.90625
stage2,all300,strict,0,B,6,39,0.9361111111111111,0.9041666666666667
stage2,all300,strict,0,B,7,0,,
stage2,all300,strict,0,B,8,43,0.8065217391304348,0.7760869565217392
stage2,all300,strict,0,C,1,28,0.8388888888888889,0.7833333333333333
stage2,all300,strict,0,C,2,41,0.8743961352657005,0.8514492753623188
stage2,all300,strict,0,C,3,37,0.9444444444444444,0.8918128654970761
stage2,all300,strict,0,C,4,0,,
stage2,all300,strict,0,C,5,38,0.9914772727272727,0.90625
stage2,all300,strict,0,C,6,39,0.9305555555555556,0.9375
stage2,all300,strict,0,C,7,0,,
stage2,all300,strict,0,C,8,43,0.8152173913043478,0.7760869565217392
stage2,all300,strict,7001,A,1,28,0.8166666666666667,0.8111111111111111
stage2,all300,strict,7001,A,2,41,0.8768115942028986,0.8454106280193237
stage2,all300,strict,7001,A,3,37,0.9210526315789473,0.8918128654970761
stage2,all300,strict,7001,A,4,0,,
stage2,all300,strict,7001,A,5,38,0.9801136363636364,0.90625
stage2,all300,strict,7001,A,6,39,0.9388888888888889,0.9375
stage2,all300,strict,7001,A,7,0,,
stage2,all300,strict,7001,A,8,43,0.7695652173913043,0.7043478260869566
stage2,all300,strict,7001,B,1,28,0.8333333333333334,0.7833333333333333
stage2,all300,strict,7001,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,strict,7001,B,3,37,0.9327485380116959,0.8918128654970761
stage2,all300,strict,7001,B,4,0,,
stage2,all300,strict,7001,B,5,38,0.9943181818181818,0.90625
stage2,all300,strict,7001,B,6,39,0.9361111111111111,0.9041666666666667
stage2,all300,strict,7001,B,7,0,,
stage2,all300,strict,7001,B,8,43,0.8065217391304348,0.7760869565217392
stage2,all300,strict,7001,C,1,28,0.8333333333333334,0.7555555555555555
stage2,all300,strict,7001,C,2,41,0.8719806763285024,0.8514492753623188
stage2,all300,strict,7001,C,3,37,0.9502923976608187,0.8918128654970761
stage2,all300,strict,7001,C,4,0,,
stage2,all300,strict,7001,C,5,38,0.9857954545454546,0.90625
stage2,all300,strict,7001,C,6,39,0.9222222222222223,0.8708333333333333
stage2,all300,strict,7001,C,7,0,,
stage2,all300,strict,7001,C,8,43,0.8130434782608695,0.7510869565217391
stage2,all300,strict,7002,A,1,28,0.8166666666666667,0.8111111111111111
stage2,all300,strict,7002,A,2,41,0.8768115942028986,0.8454106280193237
stage2,all300,strict,7002,A,3,37,0.9210526315789473,0.8918128654970761
stage2,all300,strict,7002,A,4,0,,
stage2,all300,strict,7002,A,5,38,0.9801136363636364,0.90625
stage2,all300,strict,7002,A,6,39,0.9388888888888889,0.9375
stage2,all300,strict,7002,A,7,0,,
stage2,all300,strict,7002,A,8,43,0.7695652173913043,0.7043478260869566
stage2,all300,strict,7002,B,1,28,0.8333333333333334,0.7833333333333333
stage2,all300,strict,7002,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,strict,7002,B,3,37,0.9327485380116959,0.8918128654970761
stage2,all300,strict,7002,B,4,0,,
stage2,all300,strict,7002,B,5,38,0.9943181818181818,0.90625
stage2,all300,strict,7002,B,6,39,0.9361111111111111,0.9041666666666667
stage2,all300,strict,7002,B,7,0,,
stage2,all300,strict,7002,B,8,43,0.8065217391304348,0.7760869565217392
stage2,all300,strict,7002,C,1,28,0.8388888888888889,0.7833333333333333
stage2,all300,strict,7002,C,2,41,0.8719806763285024,0.8514492753623188
stage2,all300,strict,7002,C,3,37,0.9473684210526315,0.8918128654970761
stage2,all300,strict,7002,C,4,0,,
stage2,all300,strict,7002,C,5,38,0.9886363636363636,0.90625
stage2,all300,strict,7002,C,6,39,0.9333333333333333,0.9375
stage2,all300,strict,7002,C,7,0,,
stage2,all300,strict,7002,C,8,43,0.8065217391304348,0.7510869565217391
stage2,all300,strict,7003,A,1,28,0.8166666666666667,0.8111111111111111
stage2,all300,strict,7003,A,2,41,0.8768115942028986,0.8454106280193237
stage2,all300,strict,7003,A,3,37,0.9210526315789473,0.8918128654970761
stage2,all300,strict,7003,A,4,0,,
stage2,all300,strict,7003,A,5,38,0.9801136363636364,0.90625
stage2,all300,strict,7003,A,6,39,0.9388888888888889,0.9375
stage2,all300,strict,7003,A,7,0,,
stage2,all300,strict,7003,A,8,43,0.7695652173913043,0.7043478260869566
stage2,all300,strict,7003,B,1,28,0.8333333333333334,0.7833333333333333
stage2,all300,strict,7003,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,strict,7003,B,3,37,0.9327485380116959,0.8918128654970761
stage2,all300,strict,7003,B,4,0,,
stage2,all300,strict,7003,B,5,38,0.9943181818181818,0.90625
stage2,all300,strict,7003,B,6,39,0.9361111111111111,0.9041666666666667
stage2,all300,strict,7003,B,7,0,,
stage2,all300,strict,7003,B,8,43,0.8065217391304348,0.7760869565217392
stage2,all300,strict,7003,C,1,28,0.85,0.7833333333333333
stage2,all300,strict,7003,C,2,41,0.8719806763285024,0.8514492753623188
stage2,all300,strict,7003,C,3,37,0.9444444444444444,0.8918128654970761
stage2,all300,strict,7003,C,4,0,,
stage2,all300,strict,7003,C,5,38,0.9857954545454546,0.90625
stage2,all300,strict,7003,C,6,39,0.9194444444444444,0.9041666666666667
stage2,all300,strict,7003,C,7,0,,
stage2,all300,strict,7003,C,8,43,0.808695652173913,0.7510869565217391
stage2,all300,strict,7004,A,1,28,0.8166666666666667,0.8111111111111111
stage2,all300,strict,7004,A,2,41,0.8768115942028986,0.8454106280193237
stage2,all300,strict,7004,A,3,37,0.9210526315789473,0.8918128654970761
stage2,all300,strict,7004,A,4,0,,
stage2,all300,strict,7004,A,5,38,0.9801136363636364,0.90625
stage2,all300,strict,7004,A,6,39,0.9388888888888889,0.9375
stage2,all300,strict,7004,A,7,0,,
stage2,all300,strict,7004,A,8,43,0.7695652173913043,0.7043478260869566
stage2,all300,strict,7004,B,1,28,0.8333333333333334,0.7833333333333333
stage2,all300,strict,7004,B,2,41,0.8768115942028986,0.8514492753623188
stage2,all300,strict,7004,B,3,37,0.9327485380116959,0.8918128654970761
stage2,all300,strict,7004,B,4,0,,
stage2,all300,strict,7004,B,5,38,0.9943181818181818,0.90625
stage2,all300,strict,7004,B,6,39,0.9361111111111111,0.9041666666666667
stage2,all300,strict,7004,B,7,0,,
stage2,all300,strict,7004,B,8,43,0.8065217391304348,0.7760869565217392
stage2,all300,strict,7004,C,1,28,0.85,0.7833333333333333
stage2,all300,strict,7004,C,2,41,0.8671497584541062,0.8514492753623188
stage2,all300,strict,7004,C,3,37,0.9444444444444444,0.8918128654970761
stage2,all300,strict,7004,C,4,0,,
stage2,all300,strict,7004,C,5,38,0.9886363636363636,0.90625
stage2,all300,strict,7004,C,6,39,0.9222222222222223,0.9041666666666667
stage2,all300,strict,7004,C,7,0,,
stage2,all300,strict,7004,C,8,43,0.808695652173913,0.7510869565217391
stage2,all300,strict,7005,A,1,28,0.8166666666666667,0.8111111111111111
stage2,all300,strict,7005,A,2,41,0.8768115942028986,0.8454106280193237
