stage,cohort,scheme,seed,comparison,n,delta_auroc,auroc_low,auroc_high,delta_balanced_accuracy,ba_low,ba_high
stage1,all300,exploratory,7005,original_C-minus-shuffled_C,300,4.444444444440254e-05,-0.006270000000000084,0.005778888888888879,0.00666666666666671,-0.00666666666666671,0.020000000000000018
stage1,all300,strict,0,B-A,67,0.010476190476190417,-0.019047619047618983,0.0485714285714286,0.011904761904761862,0.0,0.03571428571428581
stage1,all300,strict,0,C-B,67,0.0009523809523809268,-0.014285714285714235,0.016214285714285702,0.0,0.0,0.0
stage1,all300,strict,7001,B-A,67,0.010476190476190417,-0.019047619047618983,0.0485714285714286,0.011904761904761862,0.0,0.03571428571428581
stage1,all300,strict,7001,C-B,67,-0.011428571428571455,-0.02954761904761914,0.0009523809523809268,-0.039999999999999925,-0.09999999999999998,0.0
stage1,all300,strict,7001,original_C-minus-shuffled_C,67,0.012380952380952381,0.0009523809523809268,0.03142857142857136,0.039999999999999925,0.0,0.09999999999999998
stage1,all300,strict,7002,B-A,67,0.010476190476190417,-0.019047619047618983,0.0485714285714286,0.011904761904761862,0.0,0.03571428571428581
stage1,all300,strict,7002,C-B,67,-0.003809523809523818,-0.02002380952380954,0.008571428571428567,0.0,0.0,0.0
stage1,all300,strict,7002,original_C-minus-shuffled_C,67,0.004761904761904745,-0.00666666666666671,0.020000000000000018,0.0,0.0,0.0
stage1,all300,strict,7003,B-A,67,0.010476190476190417,-0.019047619047618983,0.0485714285714286,0.011904761904761862,0.0,0.03571428571428581
stage1,all300,strict,7003,C-B,67,0.0,-0.010500000000000047,0.010476190476190528,0.0,0.0,0.0
stage1,all300,strict,7003,original_C-minus-shuffled_C,67,0.0009523809523809268,-0.011428571428571344,0.013333333333333308,0.0,0.0,0.0
stage1,all300,strict,7004,B-A,67,0.010476190476190417,-0.019047619047618983,0.0485714285714286,0.011904761904761862,0.0,0.03571428571428581
stage1,all300,strict,7004,C-B,67,-0.004761904761904745,-0.02288095238095232,0.010476190476190417,-0.019999999999999907,-0.06000000000000005,0.0
stage1,all300,strict,7004,original_C-minus-shuffled_C,67,0.005714285714285672,0.0,0.01904761904761909,0.019999999999999907,0.0,0.06000000000000005
stage1,all300,strict,7005,B-A,67,0.010476190476190417,-0.019047619047618983,0.0485714285714286,0.011904761904761862,0.0,0.03571428571428581
stage1,all300,strict,7005,C-B,67,-0.0009523809523809268,-0.015238095238095273,0.011428571428571455,-0.011904761904761862,-0.03571428571428581,0.0
stage1,all300,strict,7005,original_C-minus-shuffled_C,67,0.0019047619047618536,-0.007619047619047528,0.011452380952380957,0.011904761904761862,0.0,0.03571428571428581
stage1,common_valid,exploratory,0,B-A,285,0.008623238395584876,-0.0053747413028481655,0.022175273479846255,0.007194244604316613,-0.01746821720705616,0.03203348280279895
stage1,common_valid,exploratory,0,C-B,285,-0.002217404158864622,-0.011483689760520364,0.0058650340001970966,0.003597122302158251,-0.010791366906474864,0.017985611510791477
stage1,common_valid,exploratory,7001,B-A,285,0.008623238395584876,-0.0053747413028481655,0.022175273479846255,0.007194244604316613,-0.01746821720705616,0.03203348280279895
stage1,common_valid,exploratory,7001,C-B,285,-0.005814526461022873,-0.011730068000394198,-0.0006393515324726467,-0.007021779836404951,-0.021237804277126182,0.007194244604316502
stage1,common_valid,exploratory,7001,original_C-minus-shuffled_C,285,0.003597122302158251,-0.004682418448802561,0.012173548832167229,0.010618902138563202,-0.003597122302158362,0.02517985611510798
stage1,common_valid,exploratory,7002,B-A,285,0.008623238395584876,-0.0053747413028481655,0.022175273479846255,0.007194244604316613,-0.01746821720705616,0.03203348280279895
stage1,common_valid,exploratory,7002,C-B,285,0.0004927564797477801,-0.005124667389376225,0.005963585296146697,0.003597122302158251,-0.010791366906474864,0.017985611510791477
stage1,common_valid,exploratory,7002,original_C-minus-shuffled_C,285,-0.002710160638612402,-0.009415344436779343,0.003943283729181054,0.0,-0.017985611510791366,0.017985611510791366
stage1,common_valid,exploratory,7003,B-A,285,0.008623238395584876,-0.0053747413028481655,0.022175273479846255,0.007194244604316613,-0.01746821720705616,0.03203348280279895
stage1,common_valid,exploratory,7003,C-B,285,0.0007391347196216147,-0.004583867152853069,0.005913077756972476,-0.010791366906474864,-0.025179856115107868,0.0
stage1,common_valid,exploratory,7003,original_C-minus-shuffled_C,285,-0.0029565388784862368,-0.011136296442298192,0.004188430077855521,0.014388489208633115,-8.992805755395116e-05,0.03237410071942448
stage1,common_valid,exploratory,7004,B-A,285,0.008623238395584876,-0.0053747413028481655,0.022175273479846255,0.007194244604316613,-0.01746821720705616,0.03203348280279895
stage1,common_valid,exploratory,7004,C-B,285,-0.004237705725830265,-0.010253030452350447,0.0014831970040405911,-0.003597122302158362,-0.010791366906474864,0.0
stage1,common_valid,exploratory,7004,original_C-minus-shuffled_C,285,0.0020203015669656432,-0.0038927761900069413,0.00783482802798852,0.007194244604316613,-0.007194244604316502,0.021582733812949728
stage1,common_valid,exploratory,7005,B-A,285,0.008623238395584876,-0.0053747413028481655,0.022175273479846255,0.007194244604316613,-0.01746821720705616,0.03203348280279895
stage1,common_valid,exploratory,7005,C-B,285,-0.0016753720311422082,-0.00719670838671535,0.003744949246082596,0.003597122302158251,-0.010791366906474864,0.017985611510791477
stage1,common_valid,exploratory,7005,original_C-minus-shuffled_C,285,-0.0005420321277224138,-0.006753227554942426,0.005372277520449427,0.0,-0.010791366906474864,0.010791366906474753
stage1,common_valid,strict,0,B-A,63,0.01413043478260867,-0.008695652173912993,0.04239130434782612,0.012499999999999956,-0.05271739130434794,0.07188858695652163
stage1,common_valid,strict,0,C-B,63,-0.0021739130434782483,-0.011956521739130421,0.005434782608695676,0.021739130434782705,0.0,0.0652173913043479
